cand,end_date,end_date.num,trend,trend_se,upper,lower
arthaud,2021-09-02,18872,0.006029521596197428,0.008420626602625478,0.01682476490076329,0
arthaud,2021-09-03,18873,0.00613895731525357,0.008420626602625478,0.016934200619819435,0
arthaud,2021-09-04,18874,0.006247718578337696,0.008420626602625478,0.017042961882903558,0
arthaud,2021-09-05,18875,0.006355408056289052,0.008420626602625478,0.017150651360854915,0
arthaud,2021-09-06,18876,0.006461697701652273,0.008420626602625478,0.017256941006218135,0
arthaud,2021-09-07,18877,0.006566719501915096,0.008420626602625478,0.01736196280648096,0
arthaud,2021-09-08,18878,0.006672445584354626,0.008420626602625478,0.017467688888920488,0
arthaud,2021-09-09,18879,0.006781308111195588,0.008420626602625478,0.017576551415761452,0
arthaud,2021-09-10,18880,0.006895739244662024,0.008420626602625478,0.017690982549227886,0
arthaud,2021-09-11,18881,0.007018171146976986,0.008420626602625478,0.01781341445154285,0
arthaud,2021-09-12,18882,0.007151035980364943,0.008420626602625478,0.017946279284930807,0
arthaud,2021-09-13,18883,0.00729676590704944,0.008420626602625478,0.018092009211615304,0
arthaud,2021-09-14,18884,0.007457262085614243,0.008420626602625478,0.018252505390180106,0
arthaud,2021-09-15,18885,0.00763230166008339,0.008420626602625478,0.018427544964649253,0
arthaud,2021-09-16,18886,0.007820247293951997,0.008420626602625478,0.01861549059851786,0
arthaud,2021-09-17,18887,0.008015927743165228,0.008420626602625478,0.01881117104773109,0
arthaud,2021-09-18,18888,0.008213288286779016,0.008420626602625478,0.019008531591344878,0
arthaud,2021-09-19,18889,0.008406274203849467,0.008420626602625478,0.019201517508415332,0
arthaud,2021-09-20,18890,0.008588830773433996,0.008420626602625478,0.019384074077999858,0
arthaud,2021-09-21,18891,0.008755086406436054,0.008420626602625478,0.019550329711001915,0
arthaud,2021-09-22,18892,0.00889990204114641,0.008420626602625478,0.019695145345712275,0
arthaud,2021-09-23,18893,0.009018321747703416,0.008420626602625478,0.019813565052269277,0
arthaud,2021-09-24,18894,0.00910669483772536,0.008420626602625478,0.01990193814229122,0
arthaud,2021-09-25,18895,0.009166591588746434,0.008420626602625478,0.019961834893312297,0
arthaud,2021-09-26,18896,0.009200887519781618,0.008420626602625478,0.01999613082434748,0
arthaud,2021-09-27,18897,0.009212458149845523,0.008420626602625478,0.020007701454411386,0
arthaud,2021-09-28,18898,0.00920436188459543,0.008420626602625478,0.019999605189161294,0
arthaud,2021-09-29,18899,0.009180388676264924,0.008420626602625478,0.019975631980830785,0
arthaud,2021-09-30,18900,0.009144511363731646,0.008420626602625478,0.01993975466829751,0
arthaud,2021-10-01,18901,0.009100411425040044,0.008420626602625478,0.01989565472960591,0
