matchup,cand,prob_winning_this_matchup
le_penVVhidalgo,hidalgo,0.47
le_penVVhidalgo,le_pen,0.53
le_penVVmelenchon,le_pen,0.53
le_penVVmelenchon,melenchon,0.47
le_penVVzemmour,le_pen,0.58
le_penVVzemmour,zemmour,0.42
macronVVarthaud,arthaud,0.14
macronVVarthaud,macron,0.86
macronVVhidalgo,hidalgo,0.18
macronVVhidalgo,macron,0.82
macronVVjadot,jadot,0.16333333333333333
macronVVjadot,macron,0.8366666666666667
macronVVle_pen,le_pen,0.12445701357466063
macronVVle_pen,macron,0.8755429864253393
macronVVmelenchon,macron,0.99
macronVVmelenchon,melenchon,0.01
macronVVpecresse,macron,0.8222274881516588
macronVVpecresse,pecresse,0.17777251184834122
macronVVpoutou,macron,0.83
macronVVpoutou,poutou,0.17
macronVVroussel,macron,0.775
macronVVroussel,roussel,0.225
macronVVtaubira,macron,0.87
macronVVtaubira,taubira,0.13
macronVVzemmour,macron,0.9766806722689075
macronVVzemmour,zemmour,0.023319327731092437
melenchonVVpoutou,melenchon,0.45
melenchonVVpoutou,poutou,0.55
pecresseVVdupont_aignan,dupont_aignan,0.42
pecresseVVdupont_aignan,pecresse,0.58
pecresseVVle_pen,le_pen,0.0335
pecresseVVle_pen,pecresse,0.9665
pecresseVVmelenchon,melenchon,0.05068965517241379
pecresseVVmelenchon,pecresse,0.94931034482758625
pecresseVVroussel,pecresse,0.55
pecresseVVroussel,roussel,0.45
pecresseVVtaubira,pecresse,0.545
pecresseVVtaubira,taubira,0.455
pecresseVVzemmour,pecresse,0.9952631578947368
pecresseVVzemmour,zemmour,0.004736842105263158
poutouVVarthaud,arthaud,0.38
poutouVVarthaud,poutou,0.62
zemmourVVmelenchon,melenchon,0.5141666666666667
zemmourVVmelenchon,zemmour,0.48583333333333334
