cand,prob_make_r2
macron,0.909
le_pen,0.467
pecresse,0.283
zemmour,0.27
melenchon,0.053
taubira,0.004
jadot,0.003
poutou,0.003
roussel,0.003
arthaud,0.002
hidalgo,0.002
dupont_aignan,0.001
lassalle,0
