end_date,end_date.num,polling_firm,sample_size,weight,cand,pct
2021-09-02,18872,Ifop,1334,0.8538467850298006,arthaud,0.005
2021-09-02,18872,Ifop,1334,0.8538467850298006,dupont_aignan,0.035
2021-09-02,18872,Ifop,1334,0.8538467850298006,hidalgo,0.085
2021-09-02,18872,Ifop,1334,0.8538467850298006,jadot,0.0776923076923077
2021-09-02,18872,Ifop,1334,0.8538467850298006,lassalle,0.015
2021-09-02,18872,Ifop,1334,0.8538467850298006,le_pen,0.21
2021-09-02,18872,Ifop,1334,0.8538467850298006,macron,0.26
2021-09-02,18872,Ifop,1334,0.8538467850298006,melenchon,0.09
2021-09-02,18872,Ifop,1334,0.8538467850298006,pecresse,0.12
2021-09-02,18872,Ifop,1334,0.8538467850298006,poutou,0.01
2021-09-02,18872,Ifop,1334,0.8538467850298006,roussel,0.025
2021-09-02,18872,Ifop,1334,0.8538467850298006,taubira,0.043300970873786405
2021-09-02,18872,Ifop,1334,0.8538467850298006,zemmour,0.06
2021-09-03,18873,Ipsos,490,0.5174877489730418,arthaud,0.007307692307692308
2021-09-03,18873,Ipsos,490,0.5174877489730418,dupont_aignan,0.025
2021-09-03,18873,Ipsos,490,0.5174877489730418,hidalgo,0.09
2021-09-03,18873,Ipsos,490,0.5174877489730418,jadot,0.1
2021-09-03,18873,Ipsos,490,0.5174877489730418,lassalle,0.011153846153846157
2021-09-03,18873,Ipsos,490,0.5174877489730418,le_pen,0.19
2021-09-03,18873,Ipsos,490,0.5174877489730418,macron,0.24
2021-09-03,18873,Ipsos,490,0.5174877489730418,melenchon,0.085
2021-09-03,18873,Ipsos,490,0.5174877489730418,pecresse,0.14
2021-09-03,18873,Ipsos,490,0.5174877489730418,poutou,0.010000000000000002
2021-09-03,18873,Ipsos,490,0.5174877489730418,roussel,0.015
2021-09-03,18873,Ipsos,490,0.5174877489730418,taubira,0.043267326732673264
2021-09-03,18873,Ipsos,490,0.5174877489730418,zemmour,0.08
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,arthaud,0.01
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,dupont_aignan,0.05
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,hidalgo,0.08
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,jadot,0.07
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,lassalle,0.01
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,le_pen,0.23
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,macron,0.24
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,melenchon,0.11
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,pecresse,0.14
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,poutou,0.01
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,roussel,0.02
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,taubira,0.04323232323232324
2021-09-06,18876,Harris Interactive,1076,0.7668460208939216,zemmour,0.07736842105263159
2021-09-13,18883,Elabe,948,0.7197906507998574,arthaud,0
2021-09-13,18883,Elabe,948,0.7197906507998574,dupont_aignan,0.04
2021-09-13,18883,Elabe,948,0.7197906507998574,hidalgo,0.07
2021-09-13,18883,Elabe,948,0.7197906507998574,jadot,0.07
2021-09-13,18883,Elabe,948,0.7197906507998574,lassalle,0.01
2021-09-13,18883,Elabe,948,0.7197906507998574,le_pen,0.18
2021-09-13,18883,Elabe,948,0.7197906507998574,macron,0.25
2021-09-13,18883,Elabe,948,0.7197906507998574,melenchon,0.08
2021-09-13,18883,Elabe,948,0.7197906507998574,pecresse,0.15
2021-09-13,18883,Elabe,948,0.7197906507998574,poutou,0.01
2021-09-13,18883,Elabe,948,0.7197906507998574,roussel,0.02
2021-09-13,18883,Elabe,948,0.7197906507998574,taubira,0.0431958762886598
2021-09-13,18883,Elabe,948,0.7197906507998574,zemmour,0.08
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,arthaud,0.01
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,dupont_aignan,0.05
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,hidalgo,0.07
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,jadot,0.07
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,lassalle,0.01
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,le_pen,0.23
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,macron,0.25
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,melenchon,0.11
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,pecresse,0.13
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,poutou,0.01
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,roussel,0.03
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,taubira,0.0431578947368421
2021-09-13,18883,Harris Interactive,1063,0.7621995095672447,zemmour,0.09159090909090908
2021-09-15,18885,Ifop,893,0.6985986823651038,arthaud,0
2021-09-15,18885,Ifop,893,0.6985986823651038,dupont_aignan,0.03
2021-09-15,18885,Ifop,893,0.6985986823651038,hidalgo,0.07
2021-09-15,18885,Ifop,893,0.6985986823651038,jadot,0.06
2021-09-15,18885,Ifop,893,0.6985986823651038,lassalle,0.006842105263157896
2021-09-15,18885,Ifop,893,0.6985986823651038,le_pen,0.2
2021-09-15,18885,Ifop,893,0.6985986823651038,macron,0.26
2021-09-15,18885,Ifop,893,0.6985986823651038,melenchon,0.08
2021-09-15,18885,Ifop,893,0.6985986823651038,pecresse,0.13423076923076924
2021-09-15,18885,Ifop,893,0.6985986823651038,poutou,0.01
2021-09-15,18885,Ifop,893,0.6985986823651038,roussel,0.03
2021-09-15,18885,Ifop,893,0.6985986823651038,taubira,0.04311827956989248
2021-09-15,18885,Ifop,893,0.6985986823651038,zemmour,0.09
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,arthaud,0.01
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,dupont_aignan,0.02
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,hidalgo,0.07
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,jadot,0.06
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,lassalle,0
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,le_pen,0.19
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,macron,0.23
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,melenchon,0.11
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,pecresse,0.12
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,poutou,0.01
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,roussel,0.03
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,taubira,0.04307692307692308
2021-09-20,18890,Harris Interactive,1022,0.7473559227534776,zemmour,0.11
2021-09-23,18893,Odoxa,810,0.665341391536768,arthaud,0.02
2021-09-23,18893,Odoxa,810,0.665341391536768,dupont_aignan,0.03
2021-09-23,18893,Odoxa,810,0.665341391536768,hidalgo,0.04
2021-09-23,18893,Odoxa,810,0.665341391536768,jadot,0.05
2021-09-23,18893,Odoxa,810,0.665341391536768,lassalle,0.00375
2021-09-23,18893,Odoxa,810,0.665341391536768,le_pen,0.21
2021-09-23,18893,Odoxa,810,0.665341391536768,macron,0.25
2021-09-23,18893,Odoxa,810,0.665341391536768,melenchon,0.075
2021-09-23,18893,Odoxa,810,0.665341391536768,pecresse,0.13
2021-09-23,18893,Odoxa,810,0.665341391536768,poutou,0.015
2021-09-23,18893,Odoxa,810,0.665341391536768,roussel,0.03
2021-09-23,18893,Odoxa,810,0.665341391536768,taubira,0.04303370786516854
2021-09-23,18893,Odoxa,810,0.665341391536768,zemmour,0.105
2021-09-23,18893,Opinion Way,980,0.7318381929595994,arthaud,0.01
2021-09-23,18893,Opinion Way,980,0.7318381929595994,dupont_aignan,0.05
2021-09-23,18893,Opinion Way,980,0.7318381929595994,hidalgo,0.07
2021-09-23,18893,Opinion Way,980,0.7318381929595994,jadot,0.08
2021-09-23,18893,Opinion Way,980,0.7318381929595994,lassalle,0.00411764705882353
2021-09-23,18893,Opinion Way,980,0.7318381929595994,le_pen,0.25
2021-09-23,18893,Opinion Way,980,0.7318381929595994,macron,0.26
2021-09-23,18893,Opinion Way,980,0.7318381929595994,melenchon,0.07
